,shop_name,STREET,LOCALITY,REGION,POSTAL_CODE
132,Boba Bubble Tea,"1918A Queen St E, ","Toronto, ","ON, ",M4L 1H5
133,Bobaboy,"357 Bremner Blvd, ","Toronto, ","ON, ",M5V 3V4
134,Bobo Tea & Juice,"62 Fort York Blvd, ","Toronto, ","ON, ",M5V 4A6
135,Bond Coffee Shop,"113 Bond St, ","Toronto, ","ON, ",M5B 1Y2
136,Bonissimo Caffe,"130 Bloor St W, ","Toronto, ","ON, ",M5S 1N5
137,Botafogo Bar Cafe,"1631 Dundas St W, ","Toronto, ","ON, ",M6K 1V2
138,Boxcar Social,"1208 Yonge St, ","Toronto, ","ON, ",M4T 1W1
139,Brant Street Cafe,"425 Adelaide St W, ","Toronto, ","ON, ",M5V 3C1
140,Bread & Roses Bakery Cafe,"2901 Bayview Ave, ","North York, ","ON, ",M2K 1E6
141,Bread and Roses Bakery Cafe,"2232 Bloor St W, ","Toronto, ","ON, ",M6S 1N6
142,Brewed 2 Perfection,"Non, ","Non, ","ON, ",Non
143,Brewed 2 Perfection,"2051 Williams Pky E, ","Brampton, ","ON, ",L6S 5T3
144,Brewed 2 Perfection,"Non, ","Non, ","ON, ",Non
145,Bridgehead Coffeehouses,"Non, ","Non, ","ON, ",Non
146,Bridgehead Coffeehouses Bridgehead Kitchen,"Non, ","Non, ","ON, ",Non
147,Broadview Espresso,"Non, ","TORONTO, ","ON, ",Non
148,Bruegger's-mmmuffins Canada,"220-25 King St W, ","York, ","ON, ",M9N 1K8
149,Bruegger's-mmmuffins Canada,"116-3300 Bloor St W, ","Etobicoke, ","ON, ",M8X 2W8
150,Bruegger's-mmmuffins Canada,"136-40 King St W, ","Toronto, ","ON, ",M5H 3Y2
151,Brun&Fer Coffee,"559 Parliament St, ","Toronto, ","ON, ",M4X 1P7
152,Buddy Hong Kong Cafe,"2950 Birchmount Rd, ","Scarborough, ","ON, ",M1W 3G5
153,Bud's Coffee Inc,"1966 1/2 QueenE, ","Toronto, ","ON, ",M4L 1H8
154,Bull Dog Coffee,"86 Gerrard St E, ","Toronto, ","ON, ",M5B 2J1
155,Buna,"1176 Queen St W, ","Toronto, ","ON, ",M6J 1J5
156,Bunabet Coffee,"2422 Danforth Ave, ","Toronto, ","ON, ",M4C 1K9
157,Buro 53,"53 Bloor St E, ","Toronto, ","ON, ",M4W 1A9
158,Buzz Stop Inc,"4 Crescent Rd, ","Toronto, ","ON, ",M4W 1S9
159,By The Way,"400 Bloor St W, ","Toronto, ","ON, ",M5S 1X5
160,Cafe 1808 Canada,"220 Norfinch Dr, ","Toronto, ","ON, ",M3N 1Y4
161,Cafe 2Day,"1169 Bloor St W, ","Toronto, ","ON, ",M6H 1M9
162,Cafe 512,"1376 St Clair Ave W, ","Toronto, ","ON, ",M6E 1C6
163,Cafe Arbia,"113 Bond St, ","Toronto, ","ON, ",M5B 1Y2
164,Cafe Augusta,"Non, ","Non, ","ON, ",Non
165,Cafe Bene,"5519 Yonge St, ","North York, ","ON, ",M2N 5S3
166,Cafe Bennie,"809 Cobbler Cres, ","North York, ","ON, ",M3N 2Y6
167,Cafe Booboo,"533 Richmond St W, ","Toronto, ","ON, ",M5V 3Y1
168,Café Boulud,"60 Yorkville Ave, ","Toronto, ","ON, ",M4W 0A4
169,"Café chez Hélène - Organic Coffee, Music and More","Non, ","Non, ","ON, ",Non
170,"Café chez Hélène-Organic Coffee, Music and More","1437 Kingston Rd, ","Scarborough, ","ON, ",M1N 1R4
171,Café Co-Co,"2680 Lawrence Ave E, ","Scarborough, ","ON, ",M1P 4Y4
172,Cafe Cocoro,"1989 Danforth Ave, ","Toronto, ","ON, ",M4C 1J7
173,Café Con Leche,"1571 Dupont St, ","Toronto, ","ON, ",M6P 3S5
174,Cafe Diplomatico,"594 College St, ","Toronto, ","ON, ",M6G 1B3
175,Cafe Durval,"4 Greenwood Ave, ","Toronto, ","ON, ",M4L 2P4
176,Café Expresso Inc,"790 Bay St, ","Toronto, ","ON, ",M5G 1N8
177,Cafe Frappe,"519 Danforth Ave, ","Toronto, ","ON, ",M4K 1P5
178,Cafe Herois DO Mar,"1516 Dundas St W, ","Toronto, ","ON, ",M6K 1T5
179,Cafe Iris,"1240 Bay St, ","Toronto, ","ON, ",M5R 2A7
180,Café Ju Pen,"1792 Eglinton Ave W, ","York, ","ON, ",M6E 2H6
181,Cafe Lac Do,"92 Ossington Ave, ","Toronto, ","ON, ",M6J 2Z4
182,Cafe Locale,"1365 Wilson Ave, ","North York, ","ON, ",M3M 1H7
183,Cafe Louise BakeHouse,"27-15 Connie Cres, ","Vaughan, ","ON, ",L4K 1L3
184,Cafe Luso Churrasqueira,"1319 Dundas St W, ","Toronto, ","ON, ",M6J 1X8
185,Cafe M,"672 Yonge St, ","Toronto, ","ON, ",M4Y 2A6
186,Café Manning,"559 College St, ","Toronto, ","ON, ",M6G 1A9
187,Cafe Mirage,"26 William Kitchen Rd, ","Toronto, ","ON, ",M1P 5B7
188,Café Moda,"555 Richmond St W, ","Toronto, ","ON, ",M5V 3B1
189,Café Moi,"1200 Bay St, ","Toronto, ","ON, ",M5R 2A5
190,Cafe Mondiale,"1947 Sheppard Ave W, ","North York, ","ON, ",M3L 1Y8
